year,cell,flow,doxx,bodx,nh4x,no3x,orgn,orgp,po4x,totn,totp,tssx
1996,    20, 0.320E+03, 0.140E+06, 0.511E+06, 0.622E+06, 0.273E+05, 0.132E+06, 0.252E+05, 0.572E+05, 0.782E+06, 0.824E+05, 0.660E+06
1997,    20, 0.271E+03, 0.119E+06, 0.433E+06, 0.344E+06, 0.174E+06, 0.955E+05, 0.113E+05, 0.241E+05, 0.613E+06, 0.354E+05, 0.565E+06
1998,    20, 0.261E+03, 0.114E+06, 0.449E+06, 0.392E+05, 0.339E+06, 0.342E+05, 0.103E+05, 0.220E+05, 0.413E+06, 0.323E+05, 0.557E+06
1999,    20, 0.266E+03, 0.117E+06, 0.250E+06, 0.439E+05, 0.361E+06, 0.368E+05, 0.116E+05, 0.248E+05, 0.442E+06, 0.364E+05, 0.230E+06
2000,    20, 0.258E+03, 0.113E+06, 0.337E+06, 0.470E+05, 0.397E+06, 0.402E+05, 0.122E+05, 0.259E+05, 0.484E+06, 0.380E+05, 0.293E+06
1991,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1992,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1993,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1994,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1995,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1996,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1997,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1998,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1999,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
2000,    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1991,    16, 0.141E+00, 0.562E+02, 0.366E+03, 0.583E+03, 0.659E+04, 0.629E+03, 0.247E+03, 0.577E+03, 0.781E+04, 0.824E+03, 0.933E+03
1992,    16, 0.142E+00, 0.565E+02, 0.368E+03, 0.585E+03, 0.661E+04, 0.631E+03, 0.248E+03, 0.578E+03, 0.783E+04, 0.826E+03, 0.936E+03
1993,    16, 0.142E+00, 0.565E+02, 0.368E+03, 0.584E+03, 0.659E+04, 0.629E+03, 0.247E+03, 0.577E+03, 0.781E+04, 0.824E+03, 0.935E+03
1994,    16, 0.142E+00, 0.566E+02, 0.368E+03, 0.584E+03, 0.659E+04, 0.629E+03, 0.247E+03, 0.577E+03, 0.781E+04, 0.824E+03, 0.935E+03
1995,    16, 0.143E+00, 0.568E+02, 0.369E+03, 0.584E+03, 0.659E+04, 0.629E+03, 0.247E+03, 0.577E+03, 0.781E+04, 0.824E+03, 0.936E+03
1996,    16, 0.143E+00, 0.571E+02, 0.371E+03, 0.586E+03, 0.661E+04, 0.631E+03, 0.248E+03, 0.579E+03, 0.783E+04, 0.827E+03, 0.939E+03
1997,    16, 0.143E+00, 0.570E+02, 0.371E+03, 0.585E+03, 0.659E+04, 0.629E+03, 0.247E+03, 0.577E+03, 0.781E+04, 0.824E+03, 0.937E+03
1998,    16, 0.143E+00, 0.572E+02, 0.372E+03, 0.586E+03, 0.659E+04, 0.630E+03, 0.247E+03, 0.577E+03, 0.781E+04, 0.824E+03, 0.938E+03
1999,    16, 0.144E+00, 0.573E+02, 0.373E+03, 0.586E+03, 0.659E+04, 0.630E+03, 0.247E+03, 0.577E+03, 0.781E+04, 0.824E+03, 0.939E+03
2000,    16, 0.145E+00, 0.576E+02, 0.374E+03, 0.588E+03, 0.661E+04, 0.631E+03, 0.248E+03, 0.579E+03, 0.783E+04, 0.827E+03, 0.942E+03
1991,    26, 0.119E+02, 0.591E+04, 0.741E+04, 0.428E+04, 0.145E+05, 0.205E+04, 0.296E+03, 0.719E+03, 0.208E+05, 0.101E+04, 0.182E+05
1992,    26, 0.120E+02, 0.594E+04, 0.748E+04, 0.432E+04, 0.145E+05, 0.206E+04, 0.298E+03, 0.723E+03, 0.209E+05, 0.102E+04, 0.183E+05
1993,    26, 0.120E+02, 0.593E+04, 0.750E+04, 0.433E+04, 0.145E+05, 0.206E+04, 0.298E+03, 0.724E+03, 0.209E+05, 0.102E+04, 0.183E+05
1994,    26, 0.120E+02, 0.594E+04, 0.755E+04, 0.435E+04, 0.145E+05, 0.206E+04, 0.300E+03, 0.727E+03, 0.209E+05, 0.103E+04, 0.183E+05
1995,    26, 0.120E+02, 0.594E+04, 0.760E+04, 0.438E+04, 0.145E+05, 0.207E+04, 0.301E+03, 0.730E+03, 0.209E+05, 0.103E+04, 0.183E+05
1996,    26, 0.121E+02, 0.597E+04, 0.766E+04, 0.441E+04, 0.145E+05, 0.208E+04, 0.303E+03, 0.734E+03, 0.210E+05, 0.104E+04, 0.184E+05
1997,    26, 0.120E+02, 0.596E+04, 0.769E+04, 0.442E+04, 0.145E+05, 0.208E+04, 0.303E+03, 0.735E+03, 0.210E+05, 0.104E+04, 0.184E+05
1998,    26, 0.121E+02, 0.597E+04, 0.774E+04, 0.445E+04, 0.145E+05, 0.208E+04, 0.304E+03, 0.738E+03, 0.210E+05, 0.104E+04, 0.185E+05
1999,    26, 0.121E+02, 0.598E+04, 0.778E+04, 0.447E+04, 0.145E+05, 0.209E+04, 0.305E+03, 0.741E+03, 0.211E+05, 0.105E+04, 0.185E+05
2000,    26, 0.121E+02, 0.600E+04, 0.785E+04, 0.450E+04, 0.145E+05, 0.210E+04, 0.307E+03, 0.745E+03, 0.211E+05, 0.105E+04, 0.186E+05
1991,    30, 0.149E+01, 0.704E+03, 0.331E+04, 0.171E+04, 0.147E+04, 0.492E+03, 0.131E+03, 0.322E+03, 0.367E+04, 0.453E+03, 0.335E+04
1992,    30, 0.166E+01, 0.707E+03, 0.361E+04, 0.193E+04, 0.148E+04, 0.540E+03, 0.142E+03, 0.349E+03, 0.395E+04, 0.491E+03, 0.372E+04
1993,    30, 0.167E+01, 0.709E+03, 0.363E+04, 0.190E+04, 0.148E+04, 0.531E+03, 0.141E+03, 0.344E+03, 0.390E+04, 0.485E+03, 0.373E+04
1994,    30, 0.152E+01, 0.715E+03, 0.337E+04, 0.181E+04, 0.147E+04, 0.512E+03, 0.136E+03, 0.334E+03, 0.379E+04, 0.470E+03, 0.340E+04
1995,    30, 0.152E+01, 0.719E+03, 0.340E+04, 0.175E+04, 0.147E+04, 0.501E+03, 0.134E+03, 0.327E+03, 0.372E+04, 0.461E+03, 0.342E+04
1996,    30, 0.211E+01, 0.899E+03, 0.441E+04, 0.251E+04, 0.150E+04, 0.662E+03, 0.170E+03, 0.417E+03, 0.467E+04, 0.588E+03, 0.468E+04
1997,    30, 0.157E+01, 0.666E+03, 0.349E+04, 0.181E+04, 0.147E+04, 0.513E+03, 0.137E+03, 0.334E+03, 0.380E+04, 0.471E+03, 0.352E+04
1998,    30, 0.161E+01, 0.685E+03, 0.357E+04, 0.104E+04, 0.241E+04, 0.423E+03, 0.139E+03, 0.341E+03, 0.387E+04, 0.480E+03, 0.361E+04
1999,    30, 0.167E+01, 0.708E+03, 0.373E+04, 0.106E+04, 0.247E+04, 0.432E+03, 0.143E+03, 0.349E+03, 0.395E+04, 0.492E+03, 0.416E+04
2000,    30, 0.183E+01, 0.777E+03, 0.304E+04, 0.109E+04, 0.268E+04, 0.454E+03, 0.153E+03, 0.374E+03, 0.422E+04, 0.527E+03, 0.333E+04
1991,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1992,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1993,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1994,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1995,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1996,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1997,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1998,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1999,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
2000,    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1991,    24, 0.635E+00, 0.274E+03, 0.164E+04, 0.820E+03, 0.307E+02, 0.174E+03, 0.397E+02, 0.973E+02, 0.102E+04, 0.137E+03, 0.137E+04
1992,    24, 0.643E+00, 0.278E+03, 0.167E+04, 0.831E+03, 0.312E+02, 0.177E+03, 0.403E+02, 0.986E+02, 0.104E+04, 0.139E+03, 0.139E+04
1993,    24, 0.649E+00, 0.280E+03, 0.168E+04, 0.838E+03, 0.314E+02, 0.178E+03, 0.406E+02, 0.994E+02, 0.105E+04, 0.140E+03, 0.140E+04
1994,    24, 0.656E+00, 0.283E+03, 0.170E+04, 0.847E+03, 0.318E+02, 0.180E+03, 0.410E+02, 0.100E+03, 0.106E+04, 0.142E+03, 0.142E+04
1995,    24, 0.663E+00, 0.286E+03, 0.172E+04, 0.856E+03, 0.321E+02, 0.182E+03, 0.415E+02, 0.102E+03, 0.107E+04, 0.143E+03, 0.143E+04
1996,    24, 0.671E+00, 0.290E+03, 0.174E+04, 0.867E+03, 0.325E+02, 0.184E+03, 0.420E+02, 0.103E+03, 0.108E+04, 0.145E+03, 0.145E+04
1997,    24, 0.677E+00, 0.292E+03, 0.175E+04, 0.874E+03, 0.328E+02, 0.186E+03, 0.424E+02, 0.104E+03, 0.109E+04, 0.146E+03, 0.146E+04
1998,    24, 0.684E+00, 0.295E+03, 0.177E+04, 0.883E+03, 0.331E+02, 0.188E+03, 0.428E+02, 0.105E+03, 0.110E+04, 0.148E+03, 0.148E+04
1999,    24, 0.691E+00, 0.298E+03, 0.179E+04, 0.892E+03, 0.335E+02, 0.190E+03, 0.432E+02, 0.106E+03, 0.112E+04, 0.149E+03, 0.149E+04
2000,    24, 0.700E+00, 0.302E+03, 0.181E+04, 0.904E+03, 0.339E+02, 0.192E+03, 0.438E+02, 0.107E+03, 0.113E+04, 0.151E+03, 0.151E+04
1991,    10, 0.134E+04, 0.588E+06, 0.264E+06, 0.159E+06, 0.240E+05, 0.351E+05, 0.996E+04, 0.243E+05, 0.218E+06, 0.342E+05, 0.348E+07
1992,    10, 0.137E+04, 0.590E+06, 0.321E+06, 0.177E+06, 0.355E+05, 0.399E+05, 0.860E+04, 0.209E+05, 0.253E+06, 0.295E+05, 0.353E+07
1993,    10, 0.137E+04, 0.587E+06, 0.343E+06, 0.156E+06, 0.397E+05, 0.358E+05, 0.819E+04, 0.167E+05, 0.232E+06, 0.249E+05, 0.353E+07
1994,    10, 0.134E+04, 0.575E+06, 0.361E+06, 0.139E+06, 0.441E+05, 0.326E+05, 0.105E+05, 0.214E+05, 0.216E+06, 0.319E+05, 0.347E+07
1995,    10, 0.134E+04, 0.579E+06, 0.337E+06, 0.144E+06, 0.431E+05, 0.335E+05, 0.110E+05, 0.225E+05, 0.220E+06, 0.335E+05, 0.347E+07
1996,    10, 0.136E+04, 0.583E+06, 0.398E+06, 0.236E+06, 0.548E+05, 0.537E+05, 0.118E+05, 0.241E+05, 0.345E+06, 0.359E+05, 0.351E+07
1997,    10, 0.145E+04, 0.618E+06, 0.476E+06, 0.206E+06, 0.984E+05, 0.507E+05, 0.112E+05, 0.227E+05, 0.355E+06, 0.339E+05, 0.373E+07
1998,    10, 0.141E+04, 0.601E+06, 0.431E+06, 0.263E+05, 0.315E+06, 0.297E+05, 0.843E+04, 0.175E+05, 0.371E+06, 0.260E+05, 0.362E+07
1999,    10, 0.137E+04, 0.583E+06, 0.245E+06, 0.224E+05, 0.269E+06, 0.254E+05, 0.952E+04, 0.194E+05, 0.317E+06, 0.289E+05, 0.237E+07
2000,    10, 0.131E+04, 0.558E+06, 0.299E+06, 0.225E+05, 0.269E+06, 0.254E+05, 0.104E+05, 0.213E+05, 0.317E+06, 0.317E+05, 0.228E+07
1991,    19, 0.105E+04, 0.543E+06, 0.152E+07, 0.982E+06, 0.142E+06, 0.218E+06, 0.581E+05, 0.142E+06, 0.134E+07, 0.200E+06, 0.201E+07
1992,    19, 0.114E+04, 0.471E+06, 0.167E+07, 0.104E+07, 0.131E+06, 0.229E+06, 0.479E+05, 0.105E+06, 0.140E+07, 0.153E+06, 0.218E+07
1993,    19, 0.119E+04, 0.470E+06, 0.176E+07, 0.106E+07, 0.127E+06, 0.234E+06, 0.397E+05, 0.885E+05, 0.142E+07, 0.128E+06, 0.230E+07
1994,    19, 0.120E+04, 0.471E+06, 0.176E+07, 0.109E+07, 0.148E+06, 0.241E+06, 0.436E+05, 0.917E+05, 0.148E+07, 0.135E+06, 0.231E+07
1995,    19, 0.115E+04, 0.476E+06, 0.169E+07, 0.129E+07, 0.156E+06, 0.283E+06, 0.497E+05, 0.104E+06, 0.173E+07, 0.154E+06, 0.221E+07
1996,    19, 0.126E+04, 0.543E+06, 0.186E+07, 0.116E+07, 0.157E+06, 0.258E+06, 0.438E+05, 0.930E+05, 0.158E+07, 0.137E+06, 0.243E+07
1997,    19, 0.121E+04, 0.522E+06, 0.177E+07, 0.909E+06, 0.149E+06, 0.204E+06, 0.428E+05, 0.904E+05, 0.126E+07, 0.133E+06, 0.232E+07
1998,    19, 0.129E+04, 0.560E+06, 0.172E+07, 0.182E+06, 0.842E+06, 0.150E+06, 0.272E+05, 0.587E+05, 0.117E+07, 0.859E+05, 0.250E+07
1999,    19, 0.133E+04, 0.575E+06, 0.462E+06, 0.182E+06, 0.896E+06, 0.153E+06, 0.437E+05, 0.922E+05, 0.123E+07, 0.136E+06, 0.699E+06
2000,    19, 0.130E+04, 0.560E+06, 0.580E+06, 0.209E+06, 0.105E+07, 0.182E+06, 0.418E+05, 0.883E+05, 0.144E+07, 0.130E+06, 0.746E+06
1991,    11, 0.230E+03, 0.124E+06, 0.386E+06, 0.322E+06, 0.133E+05, 0.685E+05, 0.140E+05, 0.343E+05, 0.404E+06, 0.483E+05, 0.486E+06
1992,    11, 0.270E+03, 0.123E+06, 0.455E+06, 0.392E+06, 0.160E+05, 0.835E+05, 0.126E+05, 0.255E+05, 0.492E+06, 0.381E+05, 0.573E+06
1993,    11, 0.308E+03, 0.122E+06, 0.520E+06, 0.468E+06, 0.188E+05, 0.995E+05, 0.142E+05, 0.289E+05, 0.586E+06, 0.432E+05, 0.654E+06
1994,    11, 0.313E+03, 0.124E+06, 0.529E+06, 0.488E+06, 0.195E+05, 0.104E+06, 0.160E+05, 0.324E+05, 0.611E+06, 0.484E+05, 0.665E+06
1995,    11, 0.298E+03, 0.123E+06, 0.503E+06, 0.504E+06, 0.201E+05, 0.107E+06, 0.131E+05, 0.267E+05, 0.631E+06, 0.398E+05, 0.633E+06
1996,    11, 0.335E+03, 0.144E+06, 0.568E+06, 0.556E+06, 0.221E+05, 0.118E+06, 0.165E+05, 0.336E+05, 0.696E+06, 0.501E+05, 0.714E+06
1997,    11, 0.323E+03, 0.139E+06, 0.546E+06, 0.538E+06, 0.214E+05, 0.114E+06, 0.166E+05, 0.337E+05, 0.673E+06, 0.504E+05, 0.686E+06
1998,    11, 0.333E+03, 0.143E+06, 0.566E+06, 0.446E+05, 0.515E+06, 0.489E+05, 0.149E+05, 0.305E+05, 0.608E+06, 0.455E+05, 0.705E+06
1999,    11, 0.336E+03, 0.145E+06, 0.317E+06, 0.461E+05, 0.521E+06, 0.497E+05, 0.165E+05, 0.338E+05, 0.616E+06, 0.503E+05, 0.454E+06
2000,    11, 0.318E+03, 0.137E+06, 0.321E+06, 0.483E+05, 0.547E+06, 0.522E+05, 0.144E+05, 0.296E+05, 0.648E+06, 0.440E+05, 0.444E+06
1991,     0, 0.217E+01, 0.845E+03, 0.237E+04, 0.905E+02, 0.110E+04, 0.103E+03, 0.517E+02, 0.121E+03, 0.129E+04, 0.172E+03, 0.475E+00
1992,     0, 0.218E+01, 0.847E+03, 0.238E+04, 0.907E+02, 0.110E+04, 0.104E+03, 0.518E+02, 0.121E+03, 0.130E+04, 0.173E+03, 0.476E+00
1993,     0, 0.217E+01, 0.845E+03, 0.237E+04, 0.905E+02, 0.110E+04, 0.103E+03, 0.517E+02, 0.121E+03, 0.129E+04, 0.172E+03, 0.475E+00
1994,     0, 0.217E+01, 0.845E+03, 0.237E+04, 0.905E+02, 0.110E+04, 0.103E+03, 0.517E+02, 0.121E+03, 0.129E+04, 0.172E+03, 0.475E+00
1995,     0, 0.217E+01, 0.845E+03, 0.237E+04, 0.905E+02, 0.110E+04, 0.103E+03, 0.517E+02, 0.121E+03, 0.129E+04, 0.172E+03, 0.475E+00
1996,     0, 0.218E+01, 0.847E+03, 0.238E+04, 0.907E+02, 0.110E+04, 0.104E+03, 0.518E+02, 0.121E+03, 0.130E+04, 0.173E+03, 0.476E+00
1997,     0, 0.217E+01, 0.845E+03, 0.237E+04, 0.905E+02, 0.110E+04, 0.103E+03, 0.517E+02, 0.121E+03, 0.129E+04, 0.172E+03, 0.475E+00
1998,     0, 0.217E+01, 0.845E+03, 0.237E+04, 0.905E+02, 0.110E+04, 0.103E+03, 0.517E+02, 0.121E+03, 0.129E+04, 0.172E+03, 0.475E+00
1999,     0, 0.217E+01, 0.845E+03, 0.237E+04, 0.905E+02, 0.110E+04, 0.103E+03, 0.517E+02, 0.121E+03, 0.129E+04, 0.172E+03, 0.475E+00
2000,     0, 0.218E+01, 0.847E+03, 0.238E+04, 0.907E+02, 0.110E+04, 0.104E+03, 0.518E+02, 0.121E+03, 0.130E+04, 0.173E+03, 0.476E+00
1991,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1992,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1993,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1994,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1995,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1996,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1997,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1998,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1999,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
2000,    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
